iter	Passed	Remaining
0	144	144015
1	144	72163
2	145	48203
3	145	36219
4	145	29033
5	146	24243
6	146	20819
7	147	18250
8	147	16252
9	148	14657
10	148	13348
11	148	12259
12	149	11343
13	149	10558
14	150	9877
15	150	9279
16	151	8750
17	151	8279
18	152	7857
19	152	7479
20	153	7136
21	153	6824
22	153	6538
23	154	6276
24	154	6035
25	155	5811
26	155	5605
27	155	5413
28	156	5235
29	156	5068
30	157	4912
31	157	4766
32	158	4629
33	158	4500
34	158	4379
35	159	4264
36	159	4155
37	160	4052
38	160	3954
39	160	3861
40	161	3772
41	161	3688
42	162	3608
43	162	3531
44	162	3457
45	163	3387
46	163	3320
47	164	3256
48	164	3195
49	165	3136
50	165	3079
51	165	3024
52	166	2971
53	166	2921
54	167	2871
55	167	2824
56	167	2778
57	168	2734
58	168	2692
59	169	2650
60	169	2610
61	170	2572
62	170	2534
63	170	2499
64	171	2465
65	171	2431
66	172	2398
67	172	2366
68	173	2335
69	173	2304
70	173	2275
71	174	2247
72	174	2219
73	175	2192
74	175	2165
75	175	2139
76	176	2114
77	176	2090
78	177	2067
79	177	2044
80	178	2021
81	178	1999
82	178	1975
83	179	1954
84	179	1934
85	180	1914
86	180	1894
87	180	1875
88	181	1856
89	181	1837
90	182	1819
91	182	1802
92	182	1784
93	183	1768
94	183	1752
95	184	1735
96	184	1719
97	185	1704
98	185	1688
99	185	1673
100	186	1659
101	186	1645
102	187	1631
103	187	1618
104	188	1604
105	188	1591
106	189	1578
107	189	1565
108	190	1553
109	190	1541
110	190	1528
111	191	1516
112	191	1504
113	192	1492
114	192	1481
115	192	1470
116	193	1458
117	193	1447
118	194	1437
119	194	1426
120	194	1416
121	195	1405
122	195	1395
123	196	1385
124	196	1376
125	197	1366
126	197	1356
127	197	1347
128	198	1338
129	198	1329
130	199	1320
131	199	1311
132	199	1302
133	200	1293
134	200	1286
135	201	1277
136	201	1269
137	202	1262
138	202	1255
139	203	1247
140	203	1240
141	203	1232
142	204	1224
143	204	1218
144	205	1210
145	205	1203
146	206	1196
147	206	1189
148	207	1182
149	207	1175
150	207	1168
151	208	1162
152	208	1155
153	209	1149
154	209	1142
155	210	1136
156	210	1129
157	210	1123
158	211	1117
159	211	1111
160	211	1104
161	212	1098
162	212	1092
163	213	1086
164	213	1080
165	214	1075
166	214	1069
167	214	1064
168	215	1058
169	215	1053
170	216	1047
171	216	1042
172	217	1037
173	217	1032
174	217	1027
175	218	1021
176	218	1016
177	219	1011
178	219	1006
179	219	1001
180	220	997
181	220	992
182	221	987
183	221	983
184	222	978
185	222	973
186	222	969
187	223	964
188	223	960
189	224	955
190	224	951
191	224	946
192	225	942
193	225	938
194	226	933
195	226	929
196	227	925
197	227	921
198	227	917
199	228	913
200	228	909
201	229	905
202	229	901
203	230	897
204	230	893
205	230	889
206	231	885
207	231	882
208	232	878
209	232	874
210	232	871
211	233	867
212	233	863
213	234	860
214	234	856
215	235	853
216	235	849
217	235	846
218	236	842
219	236	839
220	237	835
221	237	832
222	237	829
223	238	825
224	238	822
225	239	819
226	239	816
227	240	813
228	240	809
229	240	806
230	241	803
231	241	800
232	242	797
233	242	794
234	243	791
235	243	788
236	243	785
237	244	782
238	244	779
239	245	777
240	245	774
241	246	771
242	246	768
243	247	765
244	247	763
245	248	760
246	248	757
247	248	754
248	249	751
249	249	748
250	250	746
251	250	743
252	250	740
253	251	738
254	251	735
255	252	732
256	252	730
257	253	727
258	253	725
259	253	722
260	254	719
261	254	717
262	255	714
263	255	712
264	255	709
265	256	707
266	256	704
267	257	702
268	257	700
269	258	697
270	258	695
271	258	692
272	259	690
273	259	688
274	260	685
275	260	683
276	260	681
277	261	678
278	261	676
279	262	674
280	262	672
281	263	669
282	263	667
283	263	665
284	264	663
285	264	661
286	265	658
287	265	656
288	266	654
289	266	652
290	266	650
291	267	647
292	267	645
293	268	643
294	268	641
295	268	639
296	269	637
297	269	635
298	270	633
299	270	631
300	271	629
301	271	627
302	272	625
303	272	624
304	273	622
305	273	620
306	274	618
307	274	616
308	275	615
309	275	613
310	276	611
311	276	609
312	277	608
313	277	606
314	277	604
315	278	602
316	278	600
317	279	599
318	279	597
319	280	595
320	280	593
321	281	592
322	281	590
323	282	588
324	282	587
325	283	585
326	283	584
327	284	582
328	284	580
329	285	579
330	285	577
331	286	575
332	286	574
333	287	572
334	287	571
335	288	569
336	288	567
337	289	566
338	289	564
339	290	563
340	290	561
341	291	560
342	291	558
343	292	557
344	292	556
345	293	554
346	293	553
347	294	551
348	294	549
349	295	548
350	295	546
351	296	545
352	296	543
353	296	541
354	297	540
355	297	538
356	298	537
357	298	535
358	299	534
359	299	532
360	299	530
361	300	529
362	300	527
363	301	526
364	301	525
365	302	523
366	302	521
367	303	520
368	303	518
369	303	517
370	304	515
371	304	514
372	305	512
373	305	511
374	305	509
375	306	508
376	306	506
377	307	505
378	307	504
379	308	502
380	308	501
381	309	499
382	309	498
383	309	497
384	310	495
385	310	494
386	311	492
387	311	491
388	311	489
389	312	488
390	312	487
391	313	485
392	313	484
393	314	483
394	314	481
395	314	480
396	315	479
397	315	477
398	316	476
399	316	474
400	317	473
401	317	472
402	317	470
403	318	469
404	318	468
405	319	466
406	319	465
407	319	464
408	320	462
409	320	461
410	321	460
411	321	459
412	322	457
413	322	456
414	322	455
415	323	453
416	323	452
417	324	451
418	324	450
419	324	448
420	325	447
421	325	446
422	326	445
423	326	443
424	327	442
425	327	441
426	327	440
427	328	438
428	328	437
429	329	436
430	329	435
431	330	433
432	330	432
433	330	431
434	331	430
435	331	429
436	332	427
437	332	426
438	332	425
439	333	424
440	333	423
441	334	421
442	334	420
443	335	419
